id,subject,domain,basis,stem
rd-b5q1,reading,2a,stem:word-meaning,"What phrase is the word tablets short for?"
rd-b5q2,reading,2b,type:tick2,"According to the author, why might using tablets in the classroom be a good idea"
rd-b5q3,reading,2d,stem:inference,"Additionally, there are endless tablet functions which could provide interesting"
rd-b5q4,reading,2a,stem:word-meaning,"…many of our teachers are not as competent and would need to be trained.What doe"
rd-b5q5,reading,2b,default,"What does the author say would be frustrating about using tablets?"
rd-b5q6,reading,2c,stem:summarise,"Using your own words, summarise what the author thinks about using tablets in th"
rd-b6q1,reading,2b,default,"Which of the following is not present in the King's court? Tick one box."
rd-b6q2,reading,2b,default,"What is the national inconvenience that Jeremy mentions in the text?"
rd-b6q3,reading,2b,default,"Which stage direction shows the reader that the king is bored?"
rd-b6q4,reading,2d,stem:inference,"Why is the king catching his breath?"
rd-b6q5,reading,2b,default,"Find and copy one name that Jeremy uses to address the king."
rd-b6q6,reading,2c,type:order → sequencing/summary,"Write the numbers 1 to 5 in the boxes to put these events from the script into t"
rd-b6q7,reading,2e,stem:predict,"What do you think might happen next in the play? Mention two things."
rd-c1q1,reading,2b,default,"What time of day is it when the story takes place?"
rd-c1q2,reading,2d,stem:inference,"Give two reasons from the text why most of the other animals in the story had go"
rd-c1q3,reading,2a,stem:word-meaning,"What does the word content mean in the final line of the text?"
rd-c1q4,reading,2b,default,"What is the main message of this text? Tick one box."
rd-c1q5,reading,2d,stem:inference,"At the beginning of the story, why do you think the lion is described as being t"
rd-c2q1,reading,2b,default,"According to the text, what is Chester most well-known for?"
rd-c2q2,reading,2b,default,"Give one example of a way to experience Roman life in Chester."
rd-c2q3,reading,2a,stem:word-meaning,"…where lunch is complimentary.What does the word complimentary mean? Tick one bo"
rd-c2q4,reading,2b,default,"Look at the section titled Great Sports Facilities.Find and copy one word or phr"
rd-c2q5,reading,2d,type:factopin,"Read each statement and tick to show whether it is fact or opinion."
rd-c2q6,reading,2d,stem:inference,"How does the text encourage parents to visit Chester? Mention two things, using "
rd-c3q1,reading,2a,stem:word-meaning,"What does the word adventurous mean in paragraph two?"
rd-c3q2,reading,2b,default,"Write down the difference between the brothers' gliders and their first plane."
rd-c3q3,reading,2d,stem:inference,"Write down a phrase from the fourth paragraph which suggests the brothers did so"
rd-c3q4,reading,2b,type:match,"Draw a line to match each date to the event."
rd-c3q5,reading,2d,stem:inference,"What does the text make the reader think about the Wright brothers?"
rd-c3q6,reading,2d,stem:inference,"How do you think the brothers felt before, during and after their first flight? "
rd-c4q1,reading,2b,type:circle2,"Circle the correct option to complete each sentence below."
rd-c4q2,reading,2b,default,"bright eyes of light (line 11)Which part of the train do these words describe?"
rd-c4q3,reading,2b,type:match,"Draw lines to match the quotes from the text to the events they are describing."
rd-c4q4,reading,2b,default,"Find and copy a word or phrase which tells you that the train can be noisy."
rd-c4q5,reading,2b,default,"Towards the end of the poem, how does the writer link back to the beginning of t"
rd-c4q6,reading,2b,default,"The train is described as a dragon (line 6). Explain how the description of the "
rd-c5q1,reading,2b,default,"What is a camel's hump made of?"
rd-c5q2,reading,2a,stem:word-meaning,"The text says that sand can be blown fiercely by the winds.What does the word fi"
rd-c5q3,reading,2a,stem:word-meaning,"What does the word retain mean in the fifth paragraph of the text?"
rd-c5q4,reading,2b,default,"Where in the world can camels be found? Circle one option."
rd-c5q5,reading,2b,default,"How does the conclusion of the text link back to the introduction?"
rd-c5q6,reading,2c,stem:summarise,"Using your own words, summarise three ways in which camels are adapted to their "
rd-c6q1,reading,2b,type:truefalse,"Read each statement and tick whether it is true or false."
rd-c6q2,reading,2c,type:order → sequencing/summary,"Write the numbers 1 to 5 in the boxes to put these events into the right order. "
rd-c6q3,reading,2d,stem:inference,"Look at the second paragraph of the text. Why don't the sailors go back when the"
rd-c6q4,reading,2b,default,"Circle one word that best describes the waves."
rd-c6q5,reading,2d,stem:inference,"Look at the fourth paragraph of the text, beginning Yet the sense…Which phrase i"
rd-c6q6,reading,2e,stem:predict,"What do you think might happen next in the text? Mention two things."
rd-r1_q4,reading,2d,skill:inference,"Why does Ella hesitate before going outside?"
rd-r1_q5,reading,2d,skill:inference,"What makes Ella feel braver as she steps outside?"
rd-r1_q6,reading,2g,skill:language,"Which phrase suggests the storm is approaching quickly?"
rd-r1_q7,reading,2d,skill:explanation,"Explain what the author suggests about the lantern at the end of the story."
rd-r2_q2,reading,2d,skill:inference,"What does the note in Sam’s pocket suggest about how he is feeling?"
rd-r2_q4,reading,2d,skill:inference,"Why does Sam relax when he reaches the corner shop?"
rd-r2_q5,reading,2d,skill:explanation,"Explain how the author shows Sam becoming more confident by the end of the text."
rd-r3_q4,reading,2g,skill:language,"Which word best describes tectonic plates?"
rd-r3_q5,reading,2d,skill:explanation,"Why are volcanoes often found at the edges of tectonic plates?"
rd-r4_q3,reading,2d,skill:inference,"Why do plants in the rainforest have large leaves?"
rd-r4_q5,reading,2d,skill:explanation,"Explain why rainforests are important for animals."
m-rq01,maths,6N2,strand:large_numbers,"Write the number that is 100 less than 1,000,000."
m-rq02,maths,6N2,strand:large_numbers,"Write the number that is 30 less than 300,000."
m-rq03,maths,6N2,strand:large_numbers,"678 is 200 less than what number?"
m-rq04,maths,6N2,strand:large_numbers,"Write in figures: five hundred thousand and ten."
m-rq05,maths,6N2,strand:large_numbers,"Write in figures: two million, three hundred and forty-two thousand."
m-rq06,maths,6N2,strand:large_numbers,"What is 1,000 more than 45,321?"
m-rq07,maths,6N2,strand:large_numbers,"What is 10,000 less than 283,507?"
m-rq08,maths,6N2,strand:large_numbers,"What is 100 times 45?"
m-rq09,maths,6N2,strand:large_numbers,"What is 4,500 divided by 100?"
m-rq10,maths,6N2,strand:large_numbers,"What is 10,000 more than 395,041?"
m-rq11,maths,6N2,strand:large_numbers,"Write in figures: three million and fifty."
m-rq12,maths,6N2,strand:large_numbers,"What is half of one million and ten?"
m-rq13,maths,6N2,strand:place_value,"What is the value of the digit 7 in the number 178,390?"
m-rq14,maths,6N2,strand:place_value,"In the number 178,390.82 — which digit is in the hundredths place?"
m-rq15,maths,6N2,strand:place_value,"In the number 217,361.05 — which digit is in the hundreds place?"
m-rq16,maths,6N2,strand:place_value,"In the number 217,361.05 — which digit is in the tenths place?"
m-rq17,maths,6N2,strand:place_value,"What is the value of the digit 5 in the number 352,109?"
m-rq18,maths,6N2,strand:place_value,"In the number 4.527 — which digit is in the thousandths place?"
m-rq19,maths,6N2,strand:place_value,"What is the value of the digit 4 in the number 2,046,318?"
m-rq20,maths,6N2,strand:ordering,"Which is the smallest of these numbers?"
m-rq21,maths,6N2,strand:ordering,"These decimals are ordered from smallest to largest: 10.1, 1.01, 1.1, 10.11, 11."
m-rq22,maths,6N2,strand:ordering,"Which is the largest of these decimals?"
m-rq23,maths,6N2,strand:ordering,"Which is the smallest of these decimals?"
m-rq24,maths,6N3,strand:rounding,"Round 263,874 to the nearest 10,000."
m-rq25,maths,6N3,strand:rounding,"Round 263,874 to the nearest 1,000."
m-rq26,maths,6N3,strand:rounding,"Round 263,874 to the nearest 100."
m-rq27,maths,6N3,strand:rounding,"Round 263,874 to the nearest 10."
m-rq28,maths,6N3,strand:rounding,"Round 4,567,890 to the nearest million."
m-rq29,maths,6N3,strand:rounding,"A bag of rice weighs 4,738 g. Round this to the nearest 100 g."
m-rq30,maths,6N4,strand:negative,"What number is 12 more than −7?"
m-rq31,maths,6N4,strand:negative,"What number is 8 less than 3?"
m-rq32,maths,6N4,strand:negative,"The temperature outside is −4°C. Inside it is 15°C.What is the difference in tem"
m-rq33,maths,6N4,strand:negative,"The temperature at midnight was −12°C. By noon it had risen by 18°C.What was the"
m-rq34,maths,6N4,strand:negative,"Write the missing number in this sequence:−8, ___ , −2, 1, 4"
m-rq35,maths,6N4,strand:negative,"Write the missing number in this sequence:5, 0, −5, ___ , −15"
m-rq36,maths,6N4,strand:negative,"What number is 5 less than −3?"
m-rq37,maths,6N4,strand:negative,"Write the missing number in this sequence:−20, −14, −8, ___ , 4"
m-rq38,maths,5N3a,strand:roman,"Write DCCIX in figures."
m-rq39,maths,5N3a,strand:roman,"Write MMXVII in figures."
m-rq40,maths,5N3a,strand:roman,"Write 1,984 in Roman numerals."
m-rq41,maths,5N3a,strand:roman,"Write MCM in figures."
m-rq42,maths,5N3a,strand:roman,"Which number is equal to MCMXCIX?"
m-rq43,maths,5N3a,strand:roman,"Write XLVII in figures."
m-rq44,maths,5N3a,strand:roman,"Write 2024 in Roman numerals."
m-bank-r1,maths,6C8,bank-domain:number,"A packet contains 8 biscuits.

How many biscuits are there in 7 packets?"
m-bank-r2,maths,6C8,bank-domain:number,"There are 450 pupils in a school.

120 pupils walk to school.

How many pupils d"
m-bank-r3,maths,6F4,bank-domain:fractions,"Which fraction is equivalent to 4/10?"
m-bank-r4,maths,6F4,bank-domain:fractions,"Write 3/4 as a decimal."
m-bank-r5,maths,6C8,bank-domain:percentages,"What is 25% of 240?"
m-bank-r6,maths,6C8,bank-domain:place_value,"What is the value of the digit 7 in the number 3.742?"
m-bank-r7,maths,6C8,bank-domain:time,"A film starts at 14:35 and ends at 15:55.

How long is the film?"
m-bank-r8,maths,6M5,bank-domain:measure,"A rope is 3.6 metres long.

How many centimetres is this?"
m-bank-r9,maths,6G2,bank-domain:geometry,"Which shape has exactly one line of symmetry?"
m-bank-r10,maths,6G2,bank-domain:geometry,"A rectangle has a length of 9 cm and a width of 4 cm.

What is its perimeter?"
m-bank-r11,maths,6R1,bank-domain:ratio,"The ratio of boys to girls in a class is 3:5.

There are 24 pupils in total.

Ho"
m-bank-r12,maths,6F4,bank-domain:fractions,"Lucy eats 2/5 of a chocolate bar.

What fraction of the bar is left?"
m-bank-r13,maths,6C8,bank-domain:decimals,"Which number is the largest?"
m-bank-r14,maths,6M5,bank-domain:measure,"A jug holds 1.2 litres of water.

How many millilitres is this?"
m-bank-r15,maths,6A3,bank-domain:algebra,"Find the value of n.

n + 7 = 19"
m-bank-r16,maths,6C8,bank-domain:statistics,"Which chart is best for showing how a value changes over time?"
m-bank-r17,maths,6C8,bank-domain:statistics,"The mean of four numbers is 6.

What is the total of the four numbers?"
m-bank-r18,maths,6C8,bank-domain:multiplication_division,"A box holds 36 apples.

The apples are shared equally between 9 children.

How m"
m-bank-r19,maths,6C8,bank-domain:angles,"What is the size of a right angle?"
m-bank-r20,maths,6C8,bank-domain:problem_solving,"A book costs £4.75.

How much do 3 books cost?"
m-bank-r21,maths,6C8,bank-domain:money,"Amir buys a drink for £1.35.

He pays with a £2 coin.

How much change does he g"
m-bank-r22,maths,6C8,bank-domain:shape_properties,"Which statement about a parallelogram is true?"
m-bank-r23,maths,6C8,bank-domain:fractions_of_amounts,"What is 3/8 of 64?"
m-bank-r24,maths,6C8,bank-domain:time,"A lesson lasts 45 minutes.

It starts at 10:10.

What time does it end?"
m-bank-r25,maths,6C8,bank-domain:estimation,"Which is the best estimate for 198 × 6?"
wu-d0s0q0,gps,G1,warmup default,"In the sentence 'The dog barked loudly at the postman', what word class is 'loud"
wu-d0s0q1,gps,G1,warmup default,"Which sentence uses a colon correctly?"
wu-d0s0q2,gps,G1,warmup default,"Which sentence uses a plural possessive apostrophe correctly?"
wu-d0s0q3,gps,G1,warmup default,"'By the time the lesson ended, she had finished her work.' What tense is used?"
wu-d0s0q4,gps,G1,warmup default,"What does the prefix 'auto-' mean?"
wu-d0s0q5,gps,G1,warmup default,"Adding the suffix '-tion' to the verb 'explain' creates which word class?"
wu-d0s0q6,gps,G1,warmup default,"Which word is a subordinating conjunction?"
wu-d0s0q7,gps,G1,warmup default,"Which sentence punctuates direct speech correctly?"
wu-d0s1q0,gps,G1,warmup default,"'The book, which I borrowed from the library, was fascinating.' What type of cla"
wu-d0s1q1,gps,G1,warmup default,"Which is an expanded noun phrase?"
wu-d0s1q2,gps,G1,warmup default,"Which sentence uses a semicolon correctly?"
wu-d0s1q3,gps,G1,warmup default,"Which sentence uses the subjunctive mood correctly?"
wu-d0s1q4,gps,G1,warmup default,"Which word is a determiner?"
wu-d0s1q5,gps,G1,warmup default,"Which word uses the prefix 'mis-' correctly to mean 'wrongly'?"
wu-d0s1q6,gps,G1,warmup default,"The suffix '-less' means:"
wu-d0s1q7,gps,G1,warmup default,"Which sentence uses brackets for parenthesis correctly?"
wu-d0s2q0,gps,G1,warmup default,"Which sentence is in the passive voice?"
wu-d0s2q1,gps,G1,warmup default,"Which word is a modal verb?"
wu-d0s2q2,gps,G1,warmup default,"Which sentence uses a hyphen correctly?"
wu-d0s2q3,gps,G1,warmup default,"'She has been reading for two hours.' What tense is this?"
wu-d0s2q4,gps,G1,warmup default,"Which word contains the root meaning 'to write'?"
wu-d0s2q5,gps,G1,warmup default,"Which pair are both coordinating conjunctions?"
wu-d0s2q6,gps,G1,warmup default,"Which sentence contains a relative pronoun?"
wu-d0s2q7,gps,G1,warmup default,"Which is the most formal version of this sentence?"
wu-d1s0q0,reading,2b,warmup default,"'Amara grabbed her umbrella and pulled her coat tighter as she stepped outside.'"
wu-d1s0q1,reading,2b,warmup default,"'James slammed his book shut and stared at the ceiling.' What can you infer abou"
wu-d1s0q2,reading,2b,warmup default,"'The ancient ruins were shrouded in mystery.' What does 'shrouded' mean here?"
wu-d1s0q3,reading,2b,warmup default,"A pupil claims: 'The author wants us to feel sorry for the character.' Which evi"
wu-d1s0q4,reading,2b,warmup default,"Which sentence contains a simile?"
wu-d1s0q5,reading,2b,warmup default,"An author uses short, punchy sentences in an action scene. What effect does this"
wu-d1s0q6,reading,2b,warmup default,"'Peter Piper picked a peck of pickled peppers.' This is an example of:"
wu-d1s0q7,reading,2b,warmup default,"Which word is closest in meaning to 'magnificent'?"
wu-d1s1q0,reading,2b,warmup default,"Which features suggest a text is a newspaper report?"
wu-d1s1q1,reading,2b,warmup default,"Which sentence is a fact?"
wu-d1s1q2,reading,2b,warmup default,"'Maya stared at her untouched plate. The smell of her favourite meal filled the "
wu-d1s1q3,reading,2b,warmup default,"'The politician gave an eloquent speech.' What does 'eloquent' mean?"
wu-d1s1q4,reading,2b,warmup default,"What is the effect of repetition in a poem?"
wu-d1s1q5,reading,2b,warmup default,"An author describes a forest as 'dark, silent, and still'. What atmosphere does "
wu-d1s1q6,reading,2b,warmup default,"What is a metaphor?"
wu-d1s1q7,reading,2b,warmup default,"When a question asks you to 'explain', what should you do?"
wu-d1s2q0,reading,2b,warmup default,"Why might an author start a story with dialogue?"
wu-d1s2q1,reading,2b,warmup default,"'The scientist's discovery was groundbreaking.' What does 'groundbreaking' mean?"
wu-d1s2q2,reading,2b,warmup default,"'The waves crashed and roared against the cliff.' What technique is used?"
wu-d1s2q3,reading,2b,warmup default,"Which type of question asks you to find information stated directly in the text?"
wu-d1s2q4,reading,2b,warmup default,"What does 'personification' mean?"
wu-d1s2q5,reading,2b,warmup default,"'She was reluctant to speak in front of the class.' What does 'reluctant' mean?"
wu-d1s2q6,reading,2b,warmup default,"Which is a good example of point-evidence-explain (PEE)?"
wu-d1s2q7,reading,2b,warmup default,"Which feature is typical of a persuasive text?"
wu-d2s0q0,maths,6N2,warmup default,"What is 24 × 35?"
wu-d2s0q1,maths,6N2,warmup default,"What is ¾ of 80?"
wu-d2s0q2,maths,6N2,warmup default,"What is 0.7 + 0.45?"
wu-d2s0q3,maths,6N2,warmup default,"What is 3 + 4 × 2?"
wu-d2s0q4,maths,6N2,warmup default,"What is 756 ÷ 4?"
wu-d2s0q5,maths,6N2,warmup default,"What is 15% of 200?"
wu-d2s0q6,maths,6N2,warmup default,"Which set of fractions is in ascending order (smallest first)?"
wu-d2s0q7,maths,6N2,warmup default,"Which fraction is equivalent to 4/6?"
wu-d2s1q0,maths,6N2,warmup default,"What is 36 × 25?"
wu-d2s1q1,maths,6N2,warmup default,"What is 2/5 of 60?"
wu-d2s1q2,maths,6N2,warmup default,"What is 3.40 − 1.76?"
wu-d2s1q3,maths,6N2,warmup default,"What is (3 + 5) × 2 − 4?"
wu-d2s1q4,maths,6N2,warmup default,"What is 504 ÷ 6?"
wu-d2s1q5,maths,6N2,warmup default,"What is 40% of 350?"
wu-d2s1q6,maths,6N2,warmup default,"What is ½ + ⅓?"
wu-d2s1q7,maths,6N2,warmup default,"What is the value of the digit 7 in the number 3.478?"
wu-d2s2q0,maths,6N2,warmup default,"What is 45 × 18?"
wu-d2s2q1,maths,6N2,warmup default,"What fraction of 48 is 12?"
wu-d2s2q2,maths,6N2,warmup default,"What is 0.6 × 0.4?"
wu-d2s2q3,maths,6N2,warmup default,"What is 20 − 4² ÷ 2?"
wu-d2s2q4,maths,6N2,warmup default,"What is 250 ÷ 8?"
wu-d2s2q5,maths,6N2,warmup default,"What is 35% as a fraction in its simplest form?"
wu-d2s2q6,maths,6N2,warmup default,"What is ¾ − ⅓?"
wu-d2s2q7,maths,6N2,warmup default,"Which shows 0.3, ¼, 2/5 and 0.28 in descending order (largest first)?"
wu-d3s0q0,maths,6N2,warmup default,"How many metres are in 3.5 km?"
wu-d3s0q1,maths,6N2,warmup default,"What is the area of a rectangle with length 9 cm and width 7 cm?"
wu-d3s0q2,maths,6N2,warmup default,"What is the sum of the interior angles in a triangle?"
wu-d3s0q3,maths,6N2,warmup default,"What is the mean of 3, 7, 8 and 2?"
wu-d3s0q4,maths,6N2,warmup default,"Simplify the ratio 12 : 8."
wu-d3s0q5,maths,6N2,warmup default,"How many faces does a cube have?"
wu-d3s0q6,maths,6N2,warmup default,"A bag weighs 2,500 g. How much is this in kilograms?"
wu-d3s0q7,maths,6N2,warmup default,"What is the area of a triangle with base 8 cm and height 5 cm?"
wu-d3s1q0,maths,6N2,warmup default,"How many centimetres are in 2.5 metres?"
wu-d3s1q1,maths,6N2,warmup default,"What is the perimeter of a rectangle with length 12 cm and width 5 cm?"
wu-d3s1q2,maths,6N2,warmup default,"What type of angle is 145°?"
wu-d3s1q3,maths,6N2,warmup default,"What is the mode of: 3, 5, 7, 3, 8, 5, 3, 2?"
wu-d3s1q4,maths,6N2,warmup default,"A recipe uses flour and sugar in a ratio of 3 : 1. If you use 120 g of flour, ho"
wu-d3s1q5,maths,6N2,warmup default,"How many edges does a triangular prism have?"
wu-d3s1q6,maths,6N2,warmup default,"What is the volume of a cuboid with length 4 cm, width 3 cm, and height 5 cm?"
wu-d3s1q7,maths,6N2,warmup default,"A point at (3, 4) is reflected in the y-axis. What are its new coordinates?"
wu-d3s2q0,maths,6N2,warmup default,"A train leaves at 09:45 and arrives at 12:20. How long is the journey?"
wu-d3s2q1,maths,6N2,warmup default,"An L-shape is made of two rectangles: one 8 cm × 3 cm and one 4 cm × 5 cm. What "
wu-d3s2q2,maths,6N2,warmup default,"Angles on a straight line add up to:"
wu-d3s2q3,maths,6N2,warmup default,"What is the range of: 4, 9, 2, 15, 7?"
wu-d3s2q4,maths,6N2,warmup default,"In a class of 30 pupils, 12 walk to school. What fraction walk to school, in its"
wu-d3s2q5,maths,6N2,warmup default,"Which shape has exactly one line of symmetry?"
wu-d3s2q6,maths,6N2,warmup default,"A jug holds 2.5 litres. How many 200 ml glasses can it completely fill?"
wu-d3s2q7,maths,6N2,warmup default,"The angles of a quadrilateral are 85°, 110°, 70°, and x°. What is x?"